"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Trustv7.nlogo"
"Sweep_Reliability"
"03/01/2026 12:08:08:982 -0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","robot-reliability","num-humans","num-robots","initial-tasks","initial-trust","robot-autonomy","robot-transparency","robot-comm-frequency","collaboration-rate","delegation-sensitivity","max-ticks","[step]","average-trust","total-tasks-completed","team-efficiency","get-average-stress","get-task-success-rate","communication-events","get-robot-utilization","get-delegation-rate","get-human-idle-rate","get-monitoring-stress","get-active-stress","get-mean-kalman-gain","get-mean-trust-covariance","get-misallocation-rate","get-judgment-failure-rate"
"14","95","3","3","30","50","70","50","50","50","0.5","2000","2000","97.33234033706204","107","100","71.25603864719433","85.6","963","100","5.660377358490567","0","0","71.25603864719433","0.23606407178138564","3.0942088184588545","33.33333333333333","1300"
"15","100","3","3","30","50","70","50","50","50","0.5","2000","2000","100","97","100","36.36363636363637","87.38738738738738","1410","100","13.725490196078432","33.33333333333333","9.090909090909092","50","0.23798200925743854","3.1279207599574748","57.14285714285714","225"
"13","90","3","3","30","50","70","50","50","50","0.5","2000","2000","90.00008389446708","91","83.33333333333334","50","83.4862385321101","1112","100","10.416666666666668","0","0","50","0.2484320883589728","3.3055174989646434","0","0"
"16","30","3","3","30","50","70","50","50","50","0.5","2000","2000","30.409901673359553","68","100","100","52.307692307692314","686","100","0","0","0","100","0.25481576935077915","3.419500290938654","0","0"
"17","35","3","3","30","50","70","50","50","50","0.5","2000","2000","35.270025281974576","44","100","66.66666666666667","43.56435643564357","852","100","3.225806451612903","0","0","66.66666666666667","0.25055996538923725","3.3435114633589738","0","0"
"20","50","3","3","30","50","70","50","50","50","0.5","2000","2000","49.84028339491314","67","100","66.66666666666667","63.20754716981132","1278","100","2.2222222222222223","0","0","66.66666666666667","0.2505611275937724","3.343532038094955","0","0"
"18","40","3","3","30","50","70","50","50","50","0.5","2000","2000","40.45083150197934","54","100","83.33333333333333","51.92307692307693","1103","100","2.4390243902439024","0","0","83.33333333333333","0.2526878378485732","3.3815053455179545","0","0"
"19","45","3","3","30","50","70","50","50","50","0.5","2000","2000","46.69518893642614","68","100","83.33333333333333","57.14285714285714","875","100","3.7037037037037033","0","0","83.33333333333333","0.2526889764549711","3.381525503132432","0","0"
"21","55","3","3","30","50","70","50","50","50","0.5","2000","2000","53.595381198771975","75","100","83.33333333333333","65.21739130434783","844","100","4","0","0","83.33333333333333","0.2526878378485682","3.3815053455178643","0","0"
"22","60","3","3","30","50","70","50","50","50","0.5","2000","2000","60.67535501200154","104","100","61.40350877192983","80","541","100","1.4705882352941175","0","0","61.40350877192983","0.24495081844735958","3.2447309043874135","0","0"
"23","65","3","3","30","50","70","50","50","50","0.5","2000","2000","64.99110908220779","101","100","61.93189526522849","76.51515151515152","770","100","1.5625","0","0","61.93189526522849","0.24666647078156542","3.274404193001875","0","0"
"24","70","3","3","30","50","70","50","50","50","0.5","2000","2000","69.27717145530106","85","66.66666666666666","83.33333333333333","78.70370370370371","1021","33.33333333333333","5.769230769230769","0","0","83.33333333333333","0.252664184603788","3.381079431440586","0","0"
"27","85","3","3","30","50","70","50","50","50","0.5","2000","2000","85.61331368850655","90","100","51.51515151515152","82.56880733944955","662","100","1.9230769230769231","0","0","51.51515151515152","0.24468230867647198","3.2401179197703844","0","0"
"25","75","3","3","30","50","70","50","50","50","0.5","2000","2000","75.29633107691023","75","100","66.66666666666667","71.42857142857143","1106","100","0","0","0","66.66666666666667","0.250559963233911","3.3435114245452198","0","0"
"29","95","3","3","30","50","70","50","50","50","0.5","2000","2000","95.62109608093262","96","100","66.66666666666667","84.95575221238938","983","100","10.416666666666668","0","0","66.66666666666667","0.2505599632338436","3.3435114245440256","20","1200"
"26","80","3","3","30","50","70","50","50","50","0.5","2000","2000","81.05270041995621","86","83.33333333333334","67.68388106416275","81.13207547169812","1128","100","4","0","0","75","0.2464556530519287","3.272021254915206","50","1200"
"30","100","3","3","30","50","70","50","50","50","0.5","2000","2000","100","107","83.33333333333334","50","82.94573643410853","797","100","4.615384615384616","0","0","50","0.2669502167766956","3.643545298814941","33.33333333333333","1500"
"31","30","3","3","30","50","70","50","50","50","0.5","2000","2000","30.976248975461484","50","100","66.66666666666667","47.61904761904761","1124","100","5.263157894736842","0","0","66.66666666666667","0.25055996323369717","3.3435114245414344","0","0"
