"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Trustv7.nlogo"
"TimeSeries_Baseline"
"03/01/2026 12:59:33:523 -0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","num-humans","num-robots","initial-tasks","initial-trust","robot-reliability","robot-autonomy","robot-transparency","robot-comm-frequency","collaboration-rate","delegation-sensitivity","max-ticks","[step]","average-trust","total-tasks-completed","team-efficiency","get-average-stress","get-task-success-rate","get-delegation-rate","get-human-idle-rate","get-monitoring-stress","get-active-stress","get-mean-kalman-gain","get-mean-trust-covariance"
"7","3","3","30","50","90","70","50","50","50","0.5","2000","220","77.2297130503501","9","100","42.201372324289224","81.81818181818183","0","0","0","42.201372324289224","0.39574124074317574","10.398640440139904"
"3","3","3","30","50","90","70","50","50","50","0.5","2000","200","90.5551874631874","8","100","33.43206502078013","88.88888888888889","14.285714285714285","33.33333333333333","9.09090912021233","45.60264297106403","0.22310605272264428","2.8721613088342584"
"2","3","3","30","50","90","70","50","50","50","0.5","2000","220","90.57111169833796","8","100","66.83824813932681","80","0","0","0","66.83824813932681","0.24629850006464313","3.2679764101612574"
"5","3","3","30","50","90","70","50","50","50","0.5","2000","200","90.79726328504684","8","100","58.568893718136245","88.88888888888889","25","0","0","58.568893718136245","0.2394975695375102","3.150136212723583"
"8","3","3","30","50","90","70","50","50","50","0.5","2000","240","77.24033847717614","15","100","28.898358589871776","88.23529411764706","7.6923076923076925","33.33333333333333","9.090909107117445","38.802083331248944","0.38978428569131873","10.298611094603215"
"1","3","3","30","50","90","70","50","50","50","0.5","2000","200","89.23552419542601","6","100","52.252874288086474","60","0","0","0","52.252874288086474","0.2425915629334919","3.2032388577741213"
"9","3","3","30","50","90","70","50","50","50","0.5","2000","220","90.40482974085482","9","100","59.80761920940187","90","25","0","0","59.80761920940187","0.2409442779983857","3.174385393528668"
"7","3","3","30","50","90","70","50","50","50","0.5","2000","240","90.22826052497949","10","100","42.18125351047042","83.33333333333334","0","0","0","42.18125351047042","0.23137637010958878","3.012008591569185"
"3","3","3","30","50","90","70","50","50","50","0.5","2000","220","90.36326110422465","9","100","41.8773812296271","90","12.5","33.33333333333333","9.090909090909095","58.270617298986096","0.2270558285587456","2.9390247196412886"
"2","3","3","30","50","90","70","50","50","50","0.5","2000","240","90.72308335555948","10","100","65.96963660615029","83.33333333333334","0","0","0","65.96963660615029","0.24559966839189462","3.2556068528686004"
"8","3","3","30","50","90","70","50","50","50","0.5","2000","260","77.18076798207458","16","100","28.89835858585859","88.88888888888889","7.6923076923076925","33.33333333333333","9.090909090909093","38.802083333333336","0.3897841853249587","10.298609457200074"
"5","3","3","30","50","90","70","50","50","50","0.5","2000","220","90.46472060120966","9","100","57.11190224205543","90","20","0","0","57.11190224205543","0.23922369138550414","3.1453674553436675"
"4","3","3","30","50","90","70","50","50","50","0.5","2000","120","90.65905681372136","5","100","57.01254128387282","100","0","0","0","57.01254128387282","0.23402159257479804","3.0559887673641555"
"1","3","3","30","50","90","70","50","50","50","0.5","2000","220","89.98240712461653","8","100","53.358811745120725","66.66666666666666","0","0","0","53.358811745120725","0.23486376438368048","3.0702942269585236"
"9","3","3","30","50","90","70","50","50","50","0.5","2000","240","90.79223804405335","11","100","67.05163640378497","91.66666666666666","16.666666666666664","0","0","67.05163640378497","0.24110315103341387","3.1771248210964735"
"7","3","3","30","50","90","70","50","50","50","0.5","2000","260","89.9415513534713","11","100","41.462480678343695","78.57142857142857","0","0","0","41.462480678343695","0.230227834387605","2.992519540213148"
"3","3","3","30","50","90","70","50","50","50","0.5","2000","240","90.25052751892811","10","83.33333333333334","25.579458070133256","90.9090909090909","12.5","33.33333333333333","9.090909090909092","60.62992125984156","0.22845572851958482","2.963224225946066"
"8","3","3","30","50","90","70","50","50","50","0.5","2000","280","77.60591995086158","17","100","50.03351164137219","85","6.666666666666667","0","0","50.03351164137219","0.3904769053739177","10.309940747073957"
"5","3","3","30","50","90","70","50","50","50","0.5","2000","240","90.79433891759142","10","100","57.483971409497535","90.9090909090909","16.666666666666664","0","0","57.483971409497535","0.24011647438816688","3.1612057652928676"
"4","3","3","30","50","90","70","50","50","50","0.5","2000","140","90.75581896715794","7","100","57.01258385482311","100","0","0","0","57.01258385482311","0.2382128666442457","3.1272207834401393"
"2","3","3","30","50","90","70","50","50","50","0.5","2000","260","90.60814038713558","10","100","65.96912558732801","83.33333333333334","0","0","0","65.96912558732801","0.24560137075606112","3.255636900946788"
"7","3","3","30","50","90","70","50","50","50","0.5","2000","280","89.9981116305376","12","100","54.35067750647971","80","0","0","0","54.35067750647971","0.2369731518901211","3.106166904343637"
"9","3","3","30","50","90","70","50","50","50","0.5","2000","260","89.9632100686254","11","100","72.2717249259149","84.61538461538461","16.666666666666664","0","0","72.2717249259149","0.24516092672110346","3.2481569431412862"
"1","3","3","30","50","90","70","50","50","50","0.5","2000","240","91.03566002029528","9","100","52.085556691280225","69.23076923076923","0","0","0","52.085556691280225","0.23595894476624465","3.0894425849176415"
